State_County,State,County,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days
"Illinois, Jersey",Illinois,Jersey,590.0,484.0,102.0,4.0,0.0,0.0,0.0
"Illinois, Jo Daviess",Illinois,Jo Daviess,674.0,640.0,34.0,0.0,0.0,0.0,0.0
"Illinois, Kane",Illinois,Kane,649.0,552.0,93.0,4.0,0.0,0.0,0.0
"Illinois, Lake",Illinois,Lake,598.0,518.0,73.0,6.0,1.0,0.0,0.0
"Illinois, Macon",Illinois,Macon,729.0,479.0,250.0,0.0,0.0,0.0,0.0
"Illinois, Macoupin",Illinois,Macoupin,700.0,654.0,46.0,0.0,0.0,0.0,0.0
"Illinois, Madison",Illinois,Madison,728.0,347.0,371.0,8.0,2.0,0.0,0.0
"Illinois, McHenry",Illinois,McHenry,705.0,472.0,231.0,2.0,0.0,0.0,0.0
"Illinois, McLean",Illinois,McLean,728.0,544.0,180.0,4.0,0.0,0.0,0.0
"Illinois, Peoria",Illinois,Peoria,729.0,511.0,213.0,5.0,0.0,0.0,0.0
"Illinois, Randolph",Illinois,Randolph,688.0,604.0,84.0,0.0,0.0,0.0,0.0
"Illinois, Rock Island",Illinois,Rock Island,715.0,612.0,101.0,2.0,0.0,0.0,0.0
"Illinois, Saint Clair",Illinois,Saint Clair,730.0,514.0,214.0,1.0,1.0,0.0,0.0
"Illinois, Sangamon",Illinois,Sangamon,725.0,603.0,122.0,0.0,0.0,0.0,0.0
"Illinois, Will",Illinois,Will,730.0,585.0,145.0,0.0,0.0,0.0,0.0
"Illinois, Winnebago",Illinois,Winnebago,706.0,555.0,149.0,2.0,0.0,0.0,0.0
"Indiana, Allen",Indiana,Allen,730.0,397.0,329.0,4.0,0.0,0.0,0.0
"Indiana, Bartholomew",Indiana,Bartholomew,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indiana, Boone",Indiana,Boone,532.0,454.0,77.0,1.0,0.0,0.0,0.0
"Indiana, Brown",Indiana,Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indiana, Carroll",Indiana,Carroll,538.0,488.0,50.0,0.0,0.0,0.0,0.0
